county,state,year,fat_amount
Walsh,ND,2002,16
Doniphan,KS,2002,24
Gentry,MO,2002,20
Macon,MO,2002,20
Douglas,SD,2002,18
Rockcastle,KY,2002,20
Pratt,KS,2002,16
Madison,FL,2002,16
Prince Of Wales-Hyder Census Area,AK,2002,16
Taylor,GA,2002,22
Amite,MS,2002,20
Platte,WY,2002,32
Rio Grande,CO,2002,16
Ralls,MO,2002,16
Chouteau,MT,2002,14
Ramsey,ND,2002,18
Green,KY,2002,24
Claiborne,MS,2002,14
Clark,MO,2002,20
Thurston,NE,2002,14
Woodruff,AR,2002,16
Antelope,NE,2002,26
Heard,GA,2002,16
Hyde,NC,2002,18
Wahkiakum,WA,2002,14
Perquimans,NC,2002,16
Pemiscot,MO,2002,28
Archuleta,CO,2002,22
Howard,MO,2002,22
Monona,IA,2002,10
Coleman,TX,2002,18
Livingston,KY,2002,16
Louisa,IA,2002,22
Phillips,KS,2002,16
Caribou,ID,2002,20
Assumption Parish,LA,2002,16
Carlisle,KY,2002,14
Pike,GA,2002,20
Mineral,MT,2002,20
Lincoln,WA,2002,14
Yuma,CO,2002,14
Monroe,MO,2002,16
Aleutians West Census Area,AK,2002,14
Spencer,KY,2002,10
Elmore,ID,2002,18
Audubon,IA,2002,22
Morris,KS,2002,14
Mercer,ND,2002,14
Bacon,GA,2002,26
Benson,ND,2002,18
Teton,MT,2002,14
Dixie,FL,2002,18
Garfield,UT,2002,14
Fremont,ID,2002,28
Pend Oreille,WA,2002,20
Humphreys,MS,2002,8
Comanche,KS,2002,14
Wabaunsee,KS,2002,8
Phelps,NE,2002,16
Gove,KS,2002,20
Lasalle Parish,LA,2002,14
Carbon,WY,2002,18
Claiborne Parish,LA,2002,20
Ringgold,IA,2002,16
Pike,IN,2002,14
Choctaw,AL,2002,12
Taylor,IA,2002,10
Charles Mix,SD,2002,18
Union,IN,2002,14
Swisher,TX,2002,22
Toole,MT,2002,8
Pulaski,GA,2002,10
Trousdale,TN,2002,14
Jackson,TN,2002,18
Thomas,KS,2002,14
Tillman,OK,2002,16
Osborne,KS,2002,14
Estill,KY,2002,14
Jones,TX,2002,22
Karnes,TX,2002,14
Kearney,NE,2002,14
Nevada,AR,2002,12
Bristol Bay Borough,AK,2002,8
Florence,WI,2002,20
Jackson,TX,2002,16
Bottineau,ND,2002,16
Falls,TX,2002,24
Bowman,ND,2002,12
Teton,ID,2002,18
Adams,IA,2002,14
Choctaw,MS,2002,16
Dekalb,MO,2002,12
Alexander,IL,2002,10
Alger,MI,2002,18
Desoto,FL,2002,18
Benton,MS,2002,10
Cherry,NE,2002,16
Chariton,MO,2002,10
Castro,TX,2002,14
Valley,MT,2002,12
Sussex,VA,2002,16
Cloud,KS,2002,14
St. Helena Parish,LA,2002,16
Concordia Parish,LA,2002,12
Dallam,TX,2002,12
Butler,NE,2002,14
Bryan,GA,2002,18
Broadwater,MT,2002,14
Stewart,GA,2002,14
Bradley,AR,2002,16
Cumberland,KY,2002,20
Colfax,NE,2002,12
Mathews,VA,2002,14
Kimball,NE,2002,18
Scott,VA,2002,16
Gallatin,IL,2002,14
Love,OK,2002,12
Furnas,NE,2002,12
Monroe,AR,2002,12
Jackson,KS,2002,14
Freestone,TX,2002,16
Ontonagon,MI,2002,12
Saluda,SC,2002,16
Edwards,IL,2002,10
Lamoure,ND,2002,16
San Juan,UT,2002,8
Lincoln,AR,2002,16
Pleasants,WV,2002,14
Perry,MS,2002,14
Grand,UT,2002,16
San Saba,TX,2002,12
Lanier,GA,2002,6
Moore,TN,2002,8
Grant,KS,2002,18
Hickman,KY,2002,6
Morgan,KY,2002,12
Jefferson,OK,2002,14
Schuyler,IL,2002,10
Ouray,CO,2002,18
Grant,OK,2002,12
Jefferson,MT,2002,16
Mills,TX,2002,16
Republic,KS,2002,22
North Slope Borough,AK,2002,10
Goochland,VA,2002,14
Marshall,SD,2002,12
Okfuskee,OK,2002,16
Gray,KS,2002,16
Gates,NC,2002,12
Petersburg Borough,AK,2002,18
Irwin,GA,2002,8
Rolette,ND,2002,10
Menard,IL,2002,14
Pendleton,WV,2002,8
Guthrie,IA,2002,14
Doddridge,WV,2002,12
Hot Springs,WY,2002,12
Sheridan,MT,2002,6
Ochiltree,TX,2002,16
Merrick,NE,2002,22
Macon,AL,2002,12
Kane,UT,2002,16
Wheeler,TX,2002,8
Washington,KS,2002,12
Switzerland,IN,2002,12
Morrow,OR,2002,18
Rooks,KS,2002,14
Cameron Parish,LA,2002,10
West Carroll Parish,LA,2002,10
Brewster,TX,2002,16
Wells,ND,2002,10
Weston,WY,2002,8
Boone,NE,2002,12
Jenkins,GA,2002,14
Hamilton,IL,2002,14
Johnson,IL,2002,8
Ness,KS,2002,8
Columbia,WA,2002,12
Clay,TN,2002,10
Lee,AR,2002,12
Bland,VA,2002,8
Nemaha,NE,2002,6
Frio,TX,2002,16
Phillips,CO,2002,8
Kit Carson,CO,2002,10
Sullivan,MO,2002,10
Washington,CO,2002,12
Bullock,AL,2002,10
Tattnall,GA,2002,18
Holt,MO,2002,10
Taylor,WV,2002,16
Valley,NE,2002,12
Ottawa,KS,2002,18
Rawlins,KS,2002,10
St. Clair,MO,2002,12
Schley,GA,2002,16
Dawes,NE,2002,10
Shelby,MO,2002,14
Tyrrell,NC,2002,6
Luce,MI,2002,10
Ransom,ND,2002,12
Greene,AL,2002,14
Deer Lodge,MT,2002,10
Parmer,TX,2002,12
Somervell,TX,2002,10
Quay,NM,2002,14
Deuel,SD,2002,12
Calhoun,WV,2002,12
Towner,ND,2002,14
Dickey,ND,2002,16
Putnam,MO,2002,16
Mason,TX,2002,8
Traverse,MN,2002,14
Mccook,SD,2002,16
Adair,IA,2002,14
Mono,CA,2002,16
Atchison,MO,2002,8
Bear Lake,ID,2002,8
Emery,UT,2002,8
Owyhee,ID,2002,12
Wilkin,MN,2002,8
Lewis,MO,2002,14
Powell,MT,2002,14
Wilcox,GA,2002,12
Warren,GA,2002,10
Power,ID,2002,14
Lincoln,MN,2002,18
Tallahatchie,MS,2002,12
Beaver,UT,2002,10
White Pine,NV,2002,14
Bailey,TX,2002,18
Perkins,NE,2002,8
Pawnee,KS,2002,10
Jackson Parish,LA,2002,16
Grand Isle,VT,2002,14
Juab,UT,2002,12
Terry,TX,2002,8
Real,TX,2002,6
Quitman,MS,2002,8
Caldwell Parish,LA,2002,12
Reeves,TX,2002,8
Greeley,NE,2002,12
Grant,SD,2002,14
Graham,NC,2002,12
Treutlen,GA,2002,12
City And Borough Of Juneau,AK,2002,4
Clay,NE,2002,10
Richmond,VA,2002,16
Red River Parish,LA,2002,12
Oneida,ID,2002,12
Franklin,MS,2002,10
Keweenaw,MI,2002,6
Steele,ND,2002,8
Kimble,TX,2002,20
Letcher,KY,2002,14
Crook,WY,2002,14
Scott,KS,2002,12
Barber,KS,2002,10
Lincoln,GA,2002,6
Haskell,TX,2002,12
Monroe,WV,2002,10
Catahoula Parish,LA,2002,10
Cavalier,ND,2002,10
Wolfe,KY,2002,10
Lynn,TX,2002,12
Worth,GA,2002,12
Donley,TX,2002,8
Andrew,MO,2002,10
Harrison,MO,2002,16
Meade,KS,2002,10
Sherman,KS,2002,8
Mcpherson,SD,2002,10
Charlton,GA,2002,12
Dickenson,VA,2002,12
Mckenzie,ND,2002,10
Mcintosh,GA,2002,14
Yoakum,TX,2002,10
Mccormick,SC,2002,8
Van Buren,TN,2002,12
Lee,KY,2002,8
Bleckley,GA,2002,12
Wayne,UT,2002,10
Breathitt,KY,2002,8
Trinity,TX,2002,12
Gilchrist,FL,2002,10
Roosevelt,MT,2002,6
Norton,KS,2002,8
Garza,TX,2002,8
Bracken,KY,2002,8
Washita,OK,2002,10
Kiowa,CO,2002,10
Phillips,MT,2002,8
Union,FL,2002,10
Vernon Parish,LA,2002,14
Fall River,SD,2002,12
Trego,KS,2002,10
Lake,MI,2002,12
Perry,AR,2002,6
Sargent,ND,2002,12
Lawrence,KY,2002,8
Latimer,OK,2002,8
Pierce,NE,2002,12
Las Animas,CO,2002,14
Forest,PA,2002,12
Hamilton,FL,2002,6
San Jacinto,TX,2002,20
Franklin,FL,2002,12
Poquoson City,VA,2002,10
Hemphill,TX,2002,10
Harney,OR,2002,6
Union,NM,2002,6
Haskell,OK,2002,10
Highland,VA,2002,6
Knox,MO,2002,6
Perkins,SD,2002,10
Calhoun,IL,2002,8
Alfalfa,OK,2002,8
Mclean,ND,2002,10
Marion,GA,2002,10
Madison Parish,LA,2002,8
Madison,TX,2002,12
Archer,TX,2002,8
Lipscomb,TX,2002,8
Lincoln,WV,2002,10
Baca,CO,2002,6
Baker,FL,2002,12
Willacy,TX,2002,4
Liberty,FL,2002,6
Wilkinson,MS,2002,8
Moody,SD,2002,8
Bath,VA,2002,8
Morrill,NE,2002,8
Lee,GA,2002,18
West Feliciana Parish,LA,2002,12
Musselshell,MT,2002,14
Lander,NV,2002,4
Webster,NE,2002,8
Lafayette,AR,2002,10
Knott,KY,2002,6
Kittson,MN,2002,14
Nuckolls,NE,2002,4
Brown,NE,2002,6
Jones,NC,2002,10
Jefferson Davis,MS,2002,8
Ward,TX,2002,6
Hardeman,TX,2002,6
Zavala,TX,2002,12
Griggs,ND,2002,6
Rio Blanco,CO,2002,10
Gilmer,WV,2002,10
Garfield,NE,2002,8
Crosby,TX,2002,8
East Carroll Parish,LA,2002,8
Smith,KS,2002,8
Sabine,TX,2002,12
Rosebud,MT,2002,8
Hall,TX,2002,10
Sherman,NE,2002,6
Dewey,OK,2002,8
Haines Borough,AK,2002,6
Clark,SD,2002,10
Haakon,SD,2002,10
Emmons,ND,2002,12
Childress,TX,2002,6
Summers,WV,2002,8
Red Lake,MN,2002,8
Dillingham Census Area,AK,2002,6
Schuyler,MO,2002,8
Dawson,MT,2002,6
Starr,TX,2002,10
Duval,TX,2002,6
Crawford,GA,2002,12
Hamilton,NY,2002,8
Ferry,WA,2002,8
Rappahannock,VA,2002,10
Clay,TX,2002,16
Chase,NE,2002,6
Custer,ID,2002,6
Foster,ND,2002,8
Franklin,TX,2002,6
Hand,SD,2002,8
St Tammany Parish,LA,2002,0
Spink,SD,2002,10
Decatur,IA,2002,14
Cumberland,VA,2002,4
Ellis,OK,2002,10
Sierra,NM,2002,12
Glacier,MT,2002,2
Prairie,AR,2002,8
Woodson,KS,2002,4
Brooks,TX,2002,6
Eddy,ND,2002,6
Wirt,WV,2002,10
Fallon,MT,2002,6
Mills,IA,2002,8
Clark,KS,2002,6
Jackson,SD,2002,4
Southeast Fairbanks Census Area,AK,2002,4
Goliad,TX,2002,6
Big Horn,MT,2002,4
Hansford,TX,2002,4
Owen,KY,2002,8
Johnson,NE,2002,6
Cook,MN,2002,6
Dolores,CO,2002,6
Butte,ID,2002,4
Lane,KS,2002,4
Sheridan,NE,2002,6
Granite,MT,2002,4
Sheridan,ND,2002,4
Mountrail,ND,2002,8
Jim Hogg,TX,2002,10
Cotton,OK,2002,6
Gosper,NE,2002,6
Magoffin,KY,2002,8
Decatur,KS,2002,4
Coal,OK,2002,8
Adams,ND,2002,2
Hickory,MO,2002,12
Dinwiddie,VA,2002,6
Liberty,MT,2002,8
Custer,CO,2002,6
Williamsburg City,VA,2002,4
Boone,WV,2002,10
Haskell,KS,2002,6
Elk,KS,2002,4
Kiowa,OK,2002,8
Catron,NM,2002,4
Lincoln,KS,2002,10
Rush,KS,2002,10
Polk,NE,2002,2
Chase,KS,2002,8
Nicholas,KY,2002,6
Pondera,MT,2002,8
Harlan,NE,2002,2
Shackelford,TX,2002,4
Hardin,IL,2002,4
Adams,ID,2002,10
St Bernard Parish,LA,2002,4
Tripp,SD,2002,8
Boyd,NE,2002,8
Wichita,KS,2002,8
Knox,NE,2002,6
Howard,NE,2002,6
Pershing,NV,2002,8
Daniels,MT,2002,6
Trimble,KY,2002,6
Hoonah-Angoon Census Area,AK,2002,2
Carson,TX,2002,6
Baylor,TX,2002,8
Cheyenne,KS,2002,4
Stanton,KS,2002,6
Gallatin,KY,2002,10
Aleutians East Borough,AK,2002,6
Mchenry,ND,2002,10
Stafford,KS,2002,8
Carroll,MS,2002,4
Pawnee,NE,2002,4
Lyon,KY,2002,2
Lafayette,FL,2002,8
Lake And Peninsula Borough,AK,2002,4
Hanson,SD,2002,2
Logan,NE,2002,2
Lake,CO,2002,6
Webster,GA,2002,6
Edmunds,SD,2002,4
Sedgwick,CO,2002,6
Lincoln,ID,2002,0
Lincoln,CO,2002,8
Culberson,TX,2002,4
Live Oak,TX,2002,10
Mora,NM,2002,4
Esmeralda,NV,2002,4
Schleicher,TX,2002,6
Logan,ND,2002,4
Morton,KS,2002,6
Bent,CO,2002,2
Motley,TX,2002,4
Faulk,SD,2002,8
Fisher,TX,2002,6
Foard,TX,2002,2
Miner,SD,2002,4
Garfield,MT,2002,4
Ohio,IN,2002,4
Coke,TX,2002,2
Greenlee,AZ,2002,2
Pulaski,IL,2002,6
Camden,NC,2002,4
Camas,ID,2002,4
Gregory,SD,2002,8
Dewey,SD,2002,8
Greer,OK,2002,4
Issaquena,MS,2002,4
Huerfano,CO,2002,6
Greene,MS,2002,4
Jack,TX,2002,4
Walworth,SD,2002,4
Jackson,CO,2002,2
Niobrara,WY,2002,4
Sherman,TX,2002,4
Mcintosh,ND,2002,10
Campbell,SD,2002,4
Refugio,TX,2002,8
Potter,SD,2002,6
Zapata,TX,2002,4
Dixon,NE,2002,4
Hancock,TN,2002,4
Hancock,GA,2002,6
Dimmit,TX,2002,4
Twiggs,GA,2002,4
Chautauqua,KS,2002,10
Sierra,CA,2002,8
Piute,UT,2002,0
Henderson,IL,2002,6
Mcdowell,WV,2002,4
Hodgeman,KS,2002,4
Presidio,TX,2002,4
Hooker,NE,2002,4
Throckmorton,TX,2002,4
Edmonson,KY,2002,6
Renville,ND,2002,6
Clay,WV,2002,6
Surry,VA,2002,4
Sheridan,KS,2002,4
Cochran,TX,2002,2
Norman,MN,2002,2
Worth,MO,2002,4
Wrangell City And Borough,AK,2002,4
Talbot,GA,2002,2
Briscoe,TX,2002,4
Kidder,ND,2002,4
Oglala Lakota,SD,2002,2
Rock,NE,2002,4
Grant,ND,2002,8
Golden Valley,MT,2002,2
Brule,SD,2002,4
Tensas Parish,LA,2002,4
Yakutat City And Borough,AK,2002,6
Golden Valley,ND,2002,4
Graham,KS,2002,0
Jewell,KS,2002,8
Mahnomen,MN,2002,4
Menard,TX,2002,2
Mineral,NV,2002,2
Mccone,MT,2002,4
Dunn,ND,2002,2
Yukon-Koyukuk Census Area,AK,2002,0
Dundy,NE,2002,2
St James Parish,LA,2002,2
Skagway Municipality,AK,2002,2
Sharkey,MS,2002,2
Alpine,CA,2002,2
Arthur,NE,2002,2
Mercer,MO,2002,2
Martin,KY,2002,2
Menominee,WI,2002,2
St Mary Parish,LA,2002,0
Armstrong,TX,2002,2
Mineral,CO,2002,2
Aurora,SD,2002,0
Logan,KS,2002,8
De Baca,NM,2002,2
Modoc,CA,2002,4
Collingsworth,TX,2002,4
Lincoln,NV,2002,2
Treasure,MT,2002,2
Glascock,GA,2002,2
Judith Basin,MT,2002,4
Robertson,KY,2002,2
Jones,SD,2002,0
Oldham,TX,2002,2
Oliver,ND,2002,10
Jerauld,SD,2002,2
Rich,UT,2002,0
Jefferson,MS,2002,2
James City,VA,2002,2
Thomas,NE,2002,2
Reagan,TX,2002,4
Wallace,KS,2002,2
Irion,TX,2002,2
Prince Of Wales-Outer Ketchikan Borough,AK,2002,2
Glades,FL,2002,6
Cheyenne,CO,2002,2
Pierce,ND,2002,4
Hitchcock,NE,2002,0
Hinsdale,CO,2002,2
Carter,MT,2002,2
Prairie,MT,2002,2
Hidalgo,NM,2002,4
Hettinger,ND,2002,2
Hayes,NE,2002,4
Chattahoochee,GA,2002,0
Hartley,TX,2002,4
Harper,OK,2002,4
Harmon,OK,2002,4
Pope,IL,2002,4
Brown,IL,2002,6
Keya Paha,NE,2002,0
Elliott,KY,2002,0
Corson,SD,2002,2
Lewis,ID,2002,2
Stanley,SD,2002,2
Stanton,NE,2002,2
Scott,IL,2002,8
Beaver,OK,2002,4
Eureka,NV,2002,4
Crane,TX,2002,4
Craig,VA,2002,6
Wheeler,OR,2002,2
Wheeler,NE,2002,2
Wheeler,GA,2002,0
Bennett,SD,2002,2
Sanborn,SD,2002,6
Costilla,CO,2002,2
Storey,NV,2002,2
Taliaferro,GA,2002,4
Copper River Census Area,AK,2002,0
Lake,TN,2002,2
Nelson,ND,2002,6
Blaine,MT,2002,6
Concho,TX,2002,4
Sully,SD,2002,2
Frontier,NE,2002,0
Boise,ID,2002,10
Kusilvak Census Area,AK,2002,4
Kiowa,KS,2002,2
Nome Census Area,AK,2002,10
Sutton,TX,2002,2
Gilliam,OR,2002,4
Gilpin,CO,2002,4
Divide,ND,2002,2
Stevens,KS,2002,8
San Juan,CO,2002,2
Roger Mills,OK,2002,4
Mitchell,TX,2002,4
Bethel Census Area,AK,2002,6
Powder River,MT,2002,2
Deuel,NE,2002,0
Guadalupe,NM,2002,4
Grant,NE,2002,0
Cottle,TX,2002,0
Crowley,CO,2002,4
Franklin,NE,2002,0
Hyde,SD,2002,2
Wheatland,MT,2002,6
Delta,TX,2002,2
Kearny,KS,2002,2
Owsley,KY,2002,2
Clark,ID,2002,2
Sherman,OR,2002,2
Hudspeth,TX,2002,2
Meagher,MT,2002,2
Long,GA,2002,2
Kinney,TX,2002,2
Knox,TX,2002,2
Ziebach,SD,2002,2
Decatur,GA,2002,0
Martin,TX,2002,0
Glasscock,TX,2002,0
St Martin Parish,LA,2002,0
Harding,NM,2002,0
Hamilton,KS,2002,0
Nance,NE,2002,0
Cimarron,OK,2002,0
Early,GA,2002,0
Grady,GA,2002,0
Randolph,GA,2002,0
Terrell,GA,2002,0
Seminole,GA,2002,0
Daggett,UT,2002,0
Clay,GA,2002,0
Jeff Davis,TX,2002,0
Calhoun,GA,2002,0
Miller,GA,2002,0
Roberts,TX,2002,0
Greeley,KS,2002,0
Todd,SD,2002,0
Upton,TX,2002,0
Sterling,TX,2002,0
Winkler,TX,2002,0
Crockett,TX,2002,0
Stonewall,TX,2002,0
Quitman,GA,2002,0
Garden,NE,2002,0
Baker,GA,2002,0
Northwest Arctic Borough,AK,2002,0
Harding,SD,2002,0
Kenedy,TX,2002,0
Todd,NE,2002,0
Wibaux,MT,2002,0
Garfield,WA,2002,0
Sioux,ND,2002,0
Billings,ND,2002,0
Edwards,TX,2002,0
Mcmullen,TX,2002,0
Leslie,KY,2002,0
Lyman,SD,2002,0
Loup,NE,2002,0
Cleburne,GA,2002,0
Los Angeles,CA,2003,33134
Cook,IL,2003,13494
Orange,CA,2003,10808
Harris,TX,2003,8238
New York,NY,2003,6542
San Diego,CA,2003,6706
Maricopa,AZ,2003,6506
Santa Clara,CA,2003,5608
Dallas,TX,2003,5956
King,WA,2003,5086
Miami-Dade,FL,2003,5002
Cuyahoga,OH,2003,4804
Alameda,CA,2003,4516
Kings,NY,2003,4514
Oakland,MI,2003,4250
Suffolk,NY,2003,4422
Hennepin,MN,2003,4044
Middlesex,MA,2003,4092
Wayne,MI,2003,3914
Macomb,MI,2003,3876
San Bernardino,CA,2003,4242
Dupage,IL,2003,3780
Broward,FL,2003,3490
Queens,NY,2003,3302
Nassau,NY,2003,3308
Tarrant,TX,2003,3404
Bergen,NJ,2003,2962
Providence,RI,2003,2736
Hartford,CT,2003,2912
New Haven,CT,2003,2770
Allegheny,PA,2003,2638
Riverside,CA,2003,2934
Salt Lake,UT,2003,2806
Montgomery,PA,2003,2632
Hamilton,OH,2003,2474
Milwaukee,WI,2003,2502
Worcester,MA,2003,2410
Multnomah,OR,2003,2392
St. Louis,MO,2003,2392
Pinellas,FL,2003,2324
Philadelphia,PA,2003,2246
Fairfield,CT,2003,2200
Erie,NY,2003,2230
Kent,MI,2003,2324
Bucks,PA,2003,2188
Essex,MA,2003,2172
Waukesha,WI,2003,2158
Essex,NJ,2003,2084
Marion,IN,2003,2120
Tulsa,OK,2003,2140
Ventura,CA,2003,2082
Palm Beach,FL,2003,2120
San Francisco,CA,2003,1770
Summit,OH,2003,1976
Bexar,TX,2003,1990
Franklin,OH,2003,2052
San Mateo,CA,2003,1708
Passaic,NJ,2003,1922
Denver,CO,2003,1800
Hillsborough,FL,2003,1838
Lake,IL,2003,1852
Mecklenburg,NC,2003,1826
Monroe,NY,2003,1896
Lancaster,PA,2003,1920
Union,NJ,2003,1712
Middlesex,NJ,2003,1724
Sacramento,CA,2003,1900
Elkhart,IN,2003,1824
Montgomery,OH,2003,1726
Fulton,GA,2003,1692
Bristol,MA,2003,1730
Clark,NV,2003,1856
Jefferson,KY,2003,1728
Orange,FL,2003,1678
Jackson,MO,2003,1590
Shelby,TN,2003,1548
Norfolk,MA,2003,1528
Westchester,NY,2003,1536
Snohomish,WA,2003,1594
Jefferson,AL,2003,1372
Sonoma,CA,2003,1706
Washington,OR,2003,1478
Hudson,NJ,2003,1288
Kane,IL,2003,1598
Oklahoma,OK,2003,1510
Guilford,NC,2003,1484
Hampden,MA,2003,1446
Winnebago,IL,2003,1396
Travis,TX,2003,1424
Lake,OH,2003,1412
Pima,AZ,2003,1442
Ramsey,MN,2003,1326
Duval,FL,2003,1318
Morris,NJ,2003,1310
Fresno,CA,2003,1366
Contra Costa,CA,2003,1296
Davidson,TN,2003,1322
Greenville,SC,2003,1342
Gwinnett,GA,2003,1380
Hillsborough,NH,2003,1314
Wake,NC,2003,1312
Bernalillo,NM,2003,1302
Stark,OH,2003,1270
Honolulu,HI,2003,1316
Ottawa,MI,2003,1310
St. Louis City,MO,2003,1196
York,PA,2003,1310
Dekalb,GA,2003,1232
Pierce,WA,2003,1296
Chester,PA,2003,1264
Boulder,CO,2003,1154
El Paso,TX,2003,1228
Anoka,MN,2003,1326
Westmoreland,PA,2003,1228
Camden,NJ,2003,1132
Lane,OR,2003,1182
Mchenry,IL,2003,1176
Baltimore,MD,2003,1116
Plymouth,MA,2003,1178
Erie,PA,2003,1120
Cobb,GA,2003,1108
Dane,WI,2003,1172
Sedgwick,KS,2003,1184
Berks,PA,2003,1144
Spokane,WA,2003,1142
Lucas,OH,2003,1086
Clackamas,OR,2003,1096
San Joaquin,CA,2003,1188
Monmouth,NJ,2003,1050
Allen,IN,2003,1120
Jefferson,CO,2003,1056
Arapahoe,CO,2003,1018
Catawba,NC,2003,1062
Baltimore City,MD,2003,1034
Johnson,KS,2003,1026
Suffolk,MA,2003,902
Will,IL,2003,1168
Douglas,NE,2003,1012
Santa Barbara,CA,2003,1008
Montgomery,MD,2003,972
Onondaga,NY,2003,958
El Paso,CO,2003,998
Rockingham,NH,2003,936
Hamilton,TN,2003,988
Delaware,PA,2003,870
Fairfax,VA,2003,944
Bronx,NY,2003,870
St. Joseph,IN,2003,876
Spartanburg,SC,2003,932
New Castle,DE,2003,866
Dakota,MN,2003,954
Brevard,FL,2003,902
Stanislaus,CA,2003,930
Lehigh,PA,2003,856
Burlington,NJ,2003,916
Knox,TN,2003,872
Washoe,NV,2003,888
Polk,FL,2003,880
Brown,WI,2003,892
Gaston,NC,2003,750
Litchfield,CT,2003,808
Randolph,NC,2003,826
Jefferson Parish,LA,2003,762
Utah,UT,2003,890
Lake,IN,2003,794
Cumberland,ME,2003,836
Clark,WA,2003,846
Lorain,OH,2003,814
Washtenaw,MI,2003,782
Mahoning,OH,2003,764
Forsyth,NC,2003,780
Pulaski,AR,2003,726
Berrien,MI,2003,732
Santa Cruz,CA,2003,748
Mobile,AL,2003,778
Seminole,FL,2003,810
Butler,OH,2003,810
Polk,IA,2003,758
Kern,CA,2003,792
Ada,ID,2003,818
Luzerne,PA,2003,690
Volusia,FL,2003,738
Marion,OR,2003,764
Anne Arundel,MD,2003,722
Kalamazoo,MI,2003,738
Racine,WI,2003,690
Prince George'S,MD,2003,730
Lee,FL,2003,872
Larimer,CO,2003,780
Mercer,NJ,2003,710
Greene,MO,2003,682
Whitfield,GA,2003,686
Sarasota,FL,2003,704
Northampton,PA,2003,710
Kent,RI,2003,626
San Luis Obispo,CA,2003,716
Collin,TX,2003,778
Genesee,MI,2003,726
Madison,AL,2003,658
Somerset,NJ,2003,642
Orange,NY,2003,686
East Baton Rouge Parish,LA,2003,680
Denton,TX,2003,704
Jackson,MI,2003,624
Fort Bend,TX,2003,640
Washington,WI,2003,682
Portage,OH,2003,600
Buncombe,NC,2003,638
Muskegon,MI,2003,632
Marin,CA,2003,534
Whatcom,WA,2003,622
Adams,CO,2003,614
Crawford,PA,2003,616
Davidson,NC,2003,592
Outagamie,WI,2003,660
Rockland,NY,2003,560
Ocean,NJ,2003,682
Napa,CA,2003,754
Niagara,NY,2003,584
Winnebago,WI,2003,608
Medina,OH,2003,568
Montgomery,TX,2003,624
Monterey,CA,2003,578
Jackson,OR,2003,614
Henrico,VA,2003,584
St. Clair,MI,2003,546
Solano,CA,2003,570
Lackawanna,PA,2003,542
Placer,CA,2003,620
Middlesex,CT,2003,566
Alamance,NC,2003,510
St. Charles,MO,2003,536
Hidalgo,TX,2003,524
Iredell,NC,2003,568
Vanderburgh,IN,2003,518
Charleston,SC,2003,560
Trumbull,OH,2003,512
Manatee,FL,2003,560
Miami,OH,2003,512
Tulare,CA,2003,560
Wayne,OH,2003,570
Butler,PA,2003,552
Oneida,NY,2003,568
Williamson,TX,2003,526
Washington,PA,2003,500
Fayette,KY,2003,518
Ingham,MI,2003,502
Lancaster,NE,2003,534
Gloucester,NJ,2003,548
Richland,SC,2003,490
York,ME,2003,506
Mclennan,TX,2003,486
Davis,UT,2003,528
Lubbock,TX,2003,520
Wyandotte,KS,2003,448
Cameron,TX,2003,444
Rock,WI,2003,486
Sheboygan,WI,2003,492
Merrimack,NH,2003,480
Orleans Parish,LA,2003,458
Lexington,SC,2003,454
Livingston,MI,2003,462
Washington,MN,2003,462
Howard,MD,2003,474
Ozaukee,WI,2003,480
Albany,NY,2003,504
Saginaw,MI,2003,476
Weber,UT,2003,468
Linn,IA,2003,474
Broome,NY,2003,458
York,SC,2003,474
Chittenden,VT,2003,434
Union,NC,2003,484
Marion,FL,2003,432
Virginia Beach City,VA,2003,452
Yakima,WA,2003,482
Marathon,WI,2003,458
Brazoria,TX,2003,430
Stearns,MN,2003,520
Tuscarawas,OH,2003,430
Clay,MO,2003,444
Schuylkill,PA,2003,386
Lafayette Parish,LA,2003,508
Hall,GA,2003,442
Jefferson,TX,2003,440
Caddo Parish,LA,2003,418
Cumberland,PA,2003,436
Walworth,WI,2003,426
Franklin,MO,2003,442
Chautauqua,NY,2003,456
Kootenai,ID,2003,442
Sebastian,AR,2003,428
Montgomery,AL,2003,420
Nueces,TX,2003,438
Dauphin,PA,2003,430
Collier,FL,2003,468
St. Louis,MN,2003,450
Washington,AR,2003,454
Butte,CA,2003,446
Deschutes,OR,2003,486
Barnstable,MA,2003,420
Madison,IL,2003,416
Clark,OH,2003,396
Ector,TX,2003,478
Columbiana,OH,2003,424
Morgan,AL,2003,394
New London,CT,2003,414
Wood,OH,2003,450
Geauga,OH,2003,446
Smith,TX,2003,446
Escambia,FL,2003,434
Beaver,PA,2003,396
Kenosha,WI,2003,384
Ulster,NY,2003,436
New Hanover,NC,2003,418
Lebanon,PA,2003,432
Grand Traverse,MI,2003,398
Lycoming,PA,2003,388
Chesterfield,VA,2003,412
Richland,OH,2003,426
Dutchess,NY,2003,432
Weld,CO,2003,458
Gregg,TX,2003,428
Calhoun,MI,2003,388
Warren,OH,2003,438
Dekalb,AL,2003,384
Windham,CT,2003,394
Scott,IA,2003,414
Jasper,MO,2003,398
Clermont,OH,2003,402
Berkshire,MA,2003,398
Mercer,PA,2003,366
Hamilton,IN,2003,378
Pasco,FL,2003,366
Durham,NC,2003,352
Chatham,GA,2003,364
Cumberland,NJ,2003,416
