County,State,year,Factory_num,Unnamed: 0,avg(NO2 Mean),avg(O3 Mean),avg(SO2 Mean),Population,Area,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate,population_density,NO2_tenyears,SO2_tenyears,O3_tenyears,Autos,Motorcycles,Trailers,Trucks,Total Vehicles
Contra Costa,California,2015,2715,30,7.19815862775737,0.02499978125,0.7556326484374973,1123231,802.18,7771,5079,786,2378,1915,3164,691.8434409306723,452.17769096472585,69.97670114161735,211.7106810620433,170.4903087610652,281.68738220366066,1400.2231419382183,8.978240484836157,1.1355896032881625,0.0237565659300889,765068,27573,62380,144712,999733
Santa Barbara,California,2015,2390,63,1.6869657988774431,0.033719006548176,0.1410318381665136,443815,3789.56,2965,1834,280,899,655,1179,668.0711557743655,413.2352444149026,63.08935029235154,202.56187826008585,147.58401586246524,265.6512285524374,117.11517959868692,2.907770775019236,0.5955632534783194,0.0336015061937332,269520,13384,32908,78114,393926
Solano,California,2015,1250,48,8.255008865013737,0.0236265013774104,0.6528854104683195,434321,906.85,3048,1917,313,853,751,1166,701.7850852249834,441.37861167201214,72.06651301687002,196.3985163047608,172.9135823503814,268.4650293216308,478.9336715002481,9.643856927048397,0.835995549624443,0.0229531542419712,281622,13267,36918,69828,401635
Humboldt,California,2015,605,61,2.155433886671972,0.0237882138866718,0.0270785837988826,135383,4052.52,1107,719,102,423,194,525,817.6802109570625,531.0858822747317,75.3418080556643,312.446909877902,143.29716434116543,387.7887179335663,33.40711458549249,2.848608526834666,0.3049872646244007,0.0218478679069637,79531,4999,27566,41336,153432
Imperial,California,2015,240,2,11.490442866666672,0.0295974972222221,0.7247742472222224,179806,4482.08,918,594,116,329,149,445,510.5502597243696,330.3560504098862,64.51397617432121,182.97498414958343,82.86709008598156,247.48896032390465,40.11664227323028,13.8621518411362,0.5941073150534308,0.0271147942270344,113104,2932,23151,41485,180672
Santa Clara,California,2016,11245,35,12.982396495867762,0.0211635041322313,0.244674219008264,1919402,1304.53,10045,6393,729,3195,2469,3924,523.3400819630281,333.0724882020546,37.98057936794898,166.45809476076403,128.6338140733416,204.43867412871305,1471.3360367335365,12.565673179302298,0.4075044709981156,0.0204847376382951,1382217,41348,66106,197675,1687346
Alameda,California,2016,9095,13,14.343573461538442,0.0206029743589743,0.933726965811966,1647704,821.26,9830,6264,866,2988,2410,3854,596.5877366323077,380.16536950811553,52.55798371552172,181.343250972262,146.2641348203318,233.90123468778373,2006.3122519056085,15.149911235635848,0.8193881607585696,0.0178149141958504,1065332,34185,57523,181484,1338524
San Bernardino,California,2016,8885,33,11.993263420454548,0.0267973522727272,0.2485591306818181,2140096,20106.39,14036,9021,1369,4628,3024,5997,655.8584287807649,421.5231466251981,63.9690929752684,216.2519812195341,141.30207243039564,280.22107419480244,106.43859986800216,17.872453849437388,0.8105230733005675,0.0316440099136536,1266253,46883,176186,352320,1841642
Sacramento,California,2016,3865,45,9.12213207142857,0.0159241071428571,2.5001772321428573,1514460,995.65,11185,7091,1031,3531,2529,4562,738.5470728840643,468.2196954690121,68.07707037491912,233.15241076027093,166.99021433382197,301.2294811351901,1521.0766835735449,9.246495672020997,0.6259662410429161,0.0257973035241657,951840,33385,106171,221756,1313152
Fresno,California,2016,2910,25,15.338750482758616,0.0143763275862068,0.0692463189655172,979915,6017.89,6614,4146,611,2207,1328,2818,674.956501329197,423.0979217585198,62.35234688723001,225.22361633406985,135.5219585372201,287.5759632212998,162.83365099727644,12.852520388796634,0.790854913928932,0.0308408804886086,511209,19127,94709,179820,804865
Contra Costa,California,2016,2710,14,6.973924296398887,0.0241712686980609,0.939742663434904,1135127,802.18,7618,4801,704,2221,1876,2925,671.1143334622469,422.9482692245009,62.01949209207428,195.66092604616048,165.26785108626612,257.6804181382348,1415.052731307188,8.659720793734063,1.0356167451051446,0.0240613697929063,835183,27938,63320,151888,1078329
Santa Barbara,California,2016,2415,49,1.915113168269227,0.0346378197115384,0.1908152235576921,446170,3789.56,3028,1903,283,959,661,1242,678.665082815967,426.5190398278683,63.42873792500617,214.9404935338548,148.14980836900733,278.369231458861,117.73662377690286,2.636061039019773,0.5824010406993723,0.0337066490768865,276471,13297,33552,80502,403822
Solano,California,2016,1240,53,8.404950016528941,0.0238909173553718,0.6115325330578508,440207,906.85,3148,2041,294,899,848,1193,715.11811488686,463.64551222493054,66.78676168257206,204.2221046007901,192.6366459415684,271.0088662833622,485.42427082759,9.409482747942842,0.7817074367695409,0.0232827907958972,291731,13393,37984,72621,415729
Humboldt,California,2016,640,38,2.014554027472527,0.027172554945055,0.3646409780219787,136646,4052.52,1196,743,93,391,259,484,875.2543067488255,543.7407607979743,68.05907234752573,286.14083105250063,189.540857397948,354.1999034000264,33.71877251685371,2.779291062818397,0.2771963965418488,0.0220419025049345,80805,5129,28088,42354,156376
Imperial,California,2016,295,28,15.283268384615344,0.0265153296703296,0.7990270659340656,180883,4482.08,949,617,104,337,176,441,524.6485297125766,341.10447084579533,57.49572928357004,186.3082766207991,97.30046494142624,243.80400590436912,40.35693249562703,13.526863199677866,0.6458162921904258,0.0274682149719839,121565,3075,23139,43795,191574
