County,State,year,Factory_num,Unnamed: 0,avg(NO2 Mean),avg(O3 Mean),avg(SO2 Mean),Population,Area,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate,population_density,NO2_tenyears,SO2_tenyears,O3_tenyears,Autos,Motorcycles,Trailers,Trucks,Total Vehicles
Alameda,California,2011,3646,57,15.737148682191744,0.0175916684931506,1.0543877369863028,1532019,821.26,9094,5982,893,2872,2217,3765,593.5957713318177,390.4651313071183,58.28909432585365,187.4650379662393,144.7109990150253,245.75413229209292,1865.4494313615664,17.402862119828512,1.3794598608199309,0.0162060085128698,954158,31298,62258,177376,1225090
San Bernardino,California,2011,3524,56,18.277943483284822,0.0289229360465116,1.0335684000726724,2062945,20106.39,12193,8094,1163,4098,2833,5261,591.0482344415386,392.3517107824009,56.37571530021402,198.6480492693697,137.3279462128171,255.0237645695838,102.60146152541556,19.97047105912828,0.982546713070638,0.0312970783143548,1074343,42153,173772,338309,1628577
Riverside,California,2011,2754,33,16.398749791900034,0.0303645368375702,0.3017277944851366,2236146,7303.81,14600,10097,1437,5222,3438,6659,652.9090676547953,451.5358120623609,64.26235138492746,233.52679118447543,153.74666949295798,297.7891425694029,306.16157868290657,20.142844561362026,1.6298129655710714,0.0276225893339113,1151450,43893,165028,351121,1711492
Sacramento,California,2011,1528,37,8.990090577142848,0.0247622114285714,0.2862484100000003,1435002,995.65,10391,6783,1076,3254,2453,4330,724.1104890446146,472.6822680386508,74.98247389202245,226.7592658407445,170.9405283058839,301.7417397327669,1441.2715311605484,12.36812062574933,0.7493016444243328,0.0253561720046925,801612,32468,107296,200603,1141979
Fresno,California,2011,1178,44,10.065030991111156,0.0330864480000001,0.7824040231111091,940496,6017.89,6074,3901,595,2023,1283,2618,645.8294346812746,414.7811367618788,63.26449022643372,215.09926676987465,136.4173797655705,278.3637569963083,156.2833484826077,14.438225049258673,1.079133875322359,0.0310916740757116,437386,18918,92506,168205,717015
Contra Costa,California,2011,1100,52,8.515871270146537,0.0227857994505495,1.5727975686813205,1066126,802.18,6980,4591,663,2122,1806,2785,654.7068545368934,430.6245228049968,62.18777142664187,199.038387582706,169.39836379564892,261.2261590093479,1329.035877234536,10.562291738467383,1.4530407852451368,0.0236492472135236,682737,25466,64887,140422,913512
Santa Barbara,California,2011,886,31,2.3397625274929816,0.033366626747437,0.696728887465052,425998,3789.56,2716,1877,252,1010,615,1262,637.5616786933272,440.6123972413016,59.15520730144273,237.09031497800456,144.36687496185428,296.2455222794473,112.41357835738188,4.169706272171153,0.448565005065312,0.0334285923751066,244837,12306,33247,75671,366061
Solano,California,2011,512,25,10.211051473972608,0.0222906657534246,0.8463638068493154,416486,906.85,2716,1755,292,755,708,1047,652.122760428922,421.38271154372535,70.11039986938337,181.27860240200152,169.99370927234048,251.38900227138487,459.266692396758,10.86817645889667,1.026052035023965,0.0222538828039327,249543,12316,34963,68605,365427
Humboldt,California,2011,274,49,2.6198949710467683,0.0221151759465478,0.4182973619153687,135243,4052.52,1045,673,128,319,226,447,772.6832442344521,497.62279748304906,94.64445479618168,235.87172718735903,167.10661549950828,330.5161819835408,33.37256817979924,3.573787675119177,0.4201893359541214,0.0210756707380036,75058,5016,27041,39649,146764
Imperial,California,2011,104,51,14.325115763473098,0.0263582544910179,0.4143639535928142,176227,4482.08,799,534,63,315,156,378,453.39249944673634,303.01826621346333,35.74934601394792,178.7467300697396,88.52219012977581,214.4960760836876,39.318129082925786,13.97158273938344,0.477187159957704,0.025475885671443,94778,2410,20798,39336,157322
