Year,County_Name,State,Population,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate
1999,Fairbanks North Star,AK,83390,175,120,0,83,37,83,209.85729703801417,143.90214654035256,0.0,99.53231802374384,44.369828516608706,99.53231802374384
1999,Fairfax,VA,955629,4005,2867,371,1308,1188,1679,419.09569508669153,300.0118246725455,38.822597472450084,136.8732007923577,124.31602640773772,175.6957982648078
1999,Fairfield,CT,877043,6887,5320,634,2989,1697,3623,785.2522624318306,606.5837136833655,72.28835986376951,340.8042707142067,193.49108310538935,413.0926305779762
1999,Fayette,KY,258704,1755,1311,208,734,369,942,678.3814707155668,506.7567567567568,80.40076689962274,283.72193704001484,142.63405281711917,364.1227039396376
1999,Forsyth,NC,303630,2538,1806,241,985,580,1226,835.8857820373481,594.8028850904061,79.37292098936206,324.4079965747785,191.0219675262655,403.78091756414057
1999,Fremont,WY,35729,226,151,24,93,34,117,632.5393937697669,422.62587813820704,67.17232500209914,260.2927593831341,95.16079375297377,327.46508438523324
1999,Fresno,CA,789405,5368,3828,414,2189,1225,2603,680.0058271736308,484.92218823037604,52.4445626769529,277.2974582121978,155.18016734122534,329.7420208891507
1999,Garrett,MD,29834,201,179,18,134,27,152,673.7279613863377,599.9865924783803,60.333847288328755,449.15197425755844,90.50077093249313,509.4858215458873
1999,Hamilton,OH,849917,8418,6061,841,3214,2006,4055,990.4496556722597,713.1284584259404,98.95083872895825,378.1545727406323,236.02304695634984,477.1054114695906
1999,Hampton City,VA,145538,845,660,76,382,202,458,580.6043782379859,453.4898102213854,52.2200387527656,262.47440530995345,138.79536615866647,314.694444062719
1999,Harris,TX,3359671,19143,13304,1392,7286,4626,8678,569.787934592405,395.9911550863165,41.43262837343299,216.86647293737985,137.6920537755036,258.2991013108129
1999,Hartford,CT,853039,8134,6021,804,3170,2047,3974,953.5320190518838,705.8293934978353,94.25125932108614,371.61255229831227,239.96558187843698,465.8638116193984
1999,Haywood,TN,19735,99,85,0,65,20,65,501.6468203699012,430.7068659741576,0.0,329.3640739802382,101.34279199391943,329.3640739802382
1999,Henderson,KY,44801,330,281,38,180,63,218,736.5907011004219,627.2181424521774,84.81953527823039,401.7767460547756,140.62186111917146,486.59628133300595
1999,Henrico,VA,257884,2118,1551,250,799,502,1049,821.2994989995502,601.4332025251664,96.94281149664191,309.8292255432675,194.66116548525693,406.77203703990943
1999,Hillsborough,FL,984930,8237,5904,763,3195,1946,3958,836.3030875290631,599.433462276507,77.46743423390495,324.3885352258536,197.5774928167484,401.85596945975857
1999,Hillsborough,NH,376407,2484,1869,262,985,622,1247,659.923965282261,496.536993201508,69.6055068051338,261.68482520250683,165.24666119386728,331.29033200764064
1999,Honolulu,HI,878906,5787,4283,528,2367,1388,2895,658.4321872873777,487.31036083494706,60.07468375457671,269.312076604324,157.92360047604637,329.3867603589007
1999,Humboldt,CA,126676,968,701,98,397,206,495,764.1542202153526,553.3802772427294,77.36272064163693,313.39796015030475,162.61959645078784,390.76068079194164
1999,Imperial,CA,141056,683,473,28,306,139,334,484.20485480943734,335.32781306715066,19.8502722323049,216.93511796733213,98.54242286751361,236.78539019963705
1999,Jefferson,AL,662845,7303,4879,739,2543,1597,3282,1101.7658728662057,736.0695185148867,111.48911133070327,383.64926943704785,240.93113774713544,495.1383807677511
1999,Jefferson,KY,691879,6987,5229,828,2715,1686,3543,1009.8586602570681,755.7679883332202,119.67410486515705,392.4096554455331,243.68422802252994,512.0837603106902
1999,Jefferson,LA,457571,3928,2749,288,1501,960,1789,858.4460116572074,600.7810809688551,62.941051771200534,328.0365232936528,209.80350590400178,390.97757506485334
1999,Kay,OK,48360,465,380,27,279,74,306,961.5384615384615,785.7733664185276,55.831265508684865,576.9230769230769,153.01902398676592,632.7543424317618
1999,Kent,MI,568731,3949,2893,452,1545,896,1997,694.3528662935553,508.67633380279955,79.47518246763408,271.6574267975546,157.54372453761093,351.13260926518865
1999,Kern,CA,655428,4555,3438,423,1956,1059,2379,694.9657323153725,524.5427415368279,64.53798128856259,298.4309489371831,161.5738113110822,362.9689302257456
1999,King,WA,1729058,11863,8493,1242,4271,2980,5513,686.0961286434579,491.1923139651764,71.83102012772272,247.01311349879532,172.34818033865838,318.84413362651804
1999,Lackawanna,PA,214001,2830,2255,261,1353,641,1614,1322.42372699193,1053.733393769188,121.96204690632287,632.2400362615127,299.53131060135235,754.2020831678357
1999,Lancaster,PA,467879,4137,3106,395,1757,954,2152,884.2029670064269,663.8468492922316,84.42353685461413,375.52444114824556,203.89887128937184,459.9479780028597
1999,Laramie,WY,81009,478,358,60,181,117,241,590.0578948018122,441.92620573022754,74.06584453579232,223.43196434964017,144.42839684479503,297.4978088854325
1999,Lawrence,PA,94870,966,772,76,491,205,567,1018.2354801307051,813.7451249077686,80.10962369558344,517.5503320333087,216.08516917887636,597.6599557288922
1999,Linn,KS,9442,37,20,0,20,0,20,391.86613005719124,211.81952976064392,0.0,211.81952976064392,0.0,211.81952976064392
1999,Litchfield,CT,181328,1467,1165,192,628,345,820,809.0311479749405,642.4821318274066,105.8854672196241,346.3337156975205,190.26294891026208,452.2191829171446
1999,Los Angeles,CA,9437290,59856,45142,4838,26577,13727,31415,634.2498746991986,478.33647159301023,51.26471688376642,281.61686246793306,145.4548922413108,332.8815793516995
1999,Luzerne,PA,320888,4314,3474,371,2081,1022,2452,1344.3943058014013,1082.6207274812396,115.61666375807137,648.5128767669717,318.4911869561966,764.129540525043
1999,Maricopa,AZ,3004985,22468,15839,2450,8185,5204,10635,747.6909202541776,527.0908174250454,81.53118900759904,272.3807273580401,173.1789010594063,353.91191636563906
1999,Marion,IN,857461,7838,5584,786,2924,1874,3710,914.0940520909988,651.2249536713623,91.66597664500193,341.00676298980363,218.5522140365568,432.67273963480557
1999,McCracken,KY,65553,604,515,67,359,89,426,921.3918508687626,785.6238463533324,102.20737418577335,547.6484676521288,135.76800451543025,649.8558418379022
1999,McLennan,TX,211548,1865,1369,136,850,383,986,881.5966116436931,647.1344564826895,64.28801028608164,401.80006428801033,181.04638190859757,466.08807457409193
1999,Mecklenburg,NC,682071,4334,2957,429,1544,984,1973,635.4177204425932,433.53257945287226,62.896677911830295,226.36939556145916,144.26650597958277,289.26607347328945
1999,Medina,OH,149137,893,680,79,411,190,490,598.7783045119588,455.9566036597223,52.97142895458538,275.5855354472733,127.39963925786357,328.5569644018587
1999,Meigs,TN,10899,14,14,0,14,0,14,128.45215157353886,128.45215157353886,0.0,128.45215157353886,0.0,128.45215157353886
1999,Milwaukee,WI,940529,8931,6537,832,3642,2063,4474,949.5719961851256,695.0343902208225,88.46085553980791,387.22888927401493,219.3446454069997,475.6897448138228
1999,Minnehaha,SD,145631,934,728,98,391,239,489,641.3469659619174,499.8935666169977,67.29336473690354,268.48679196050296,164.1134099195913,335.7801566974065
1999,Monroe,NY,733679,6163,4592,635,2427,1530,3062,840.0131392611755,625.8867979048057,86.55011251514627,330.7986190145827,208.53806637507682,417.3487315297289
1999,Montgomery,PA,744683,6785,4964,659,2612,1693,3271,911.125942179424,666.5923621191836,88.49403034579815,350.7532735405535,227.34505823283195,439.2473038863517
1999,Multnomah,OR,657740,5600,3796,528,1998,1270,2526,851.4002493386445,577.1277404445526,80.27488065192934,303.7674461033235,193.0854136892997,384.0423267552528
1999,New Castle,DE,496079,3799,2792,344,1431,1017,1775,765.8054463099627,562.8135841267217,69.34379403280526,288.4621199446056,205.00767014931088,357.80591397741085
1999,New Haven,CT,820396,7517,5594,814,2979,1801,3793,916.2648282049157,681.8658306476384,99.22037650110435,363.11732382898015,219.52813031755397,462.33770033008443
1999,Northampton,PA,265928,2320,1770,202,958,610,1160,872.4165939652839,665.5936945338589,75.96041033663248,360.2478866460094,229.38539755121687,436.20829698264197
1999,Oklahoma,OK,657182,6328,4603,645,2628,1330,3273,962.8991664409555,700.4148013792221,98.14632780569157,399.8892239897015,202.37924958382914,498.035551795393
1999,Orange,CA,2815933,16616,12767,1395,7274,4098,8669,590.070857509749,453.3843667445213,49.53953094764684,258.315805099056,145.52903069781846,307.8553360467028
1999,Orange,FL,875681,6057,4249,586,2278,1385,2864,691.6902387970049,485.22235837022845,66.91934620027156,260.14039359081676,158.16261857914012,327.0597397910883
1999,Ottawa,OK,32869,299,263,26,179,58,205,909.6717271593295,800.1460342572028,79.10188931820257,544.5860841522407,176.45806078675957,623.6879734704432
1999,Philadelphia,PA,1520064,17774,12328,1481,6602,4245,8083,1169.2928718790788,811.0184834322765,97.43010820597028,434.3238179445076,279.26455728179866,531.7539261504778
1999,Pima,AZ,828905,7169,5114,855,2635,1624,3490,864.8759508025648,616.9585175623262,103.14812915834744,317.88926354648606,195.92112485749274,421.03739270483345
1999,Polk,IA,370592,2597,1978,331,1020,627,1351,700.7706588377515,533.740609619204,89.31655297469995,275.23529919696057,169.18875744754337,364.55185217166047
1999,Prince George's,MD,795048,4942,3330,359,1741,1230,2100,621.5976896992383,418.842635916322,45.15450639458246,218.9804892283233,154.70764029341626,264.1349956229058
1999,Providence,RI,616607,5836,4340,563,2329,1448,2892,946.4699557416637,703.8518862095306,91.30613178248058,377.7122218852527,234.8335325417973,469.01835366773327
1999,Pulaski,AR,360312,3108,2154,264,1174,716,1438,862.585759008859,597.815226803437,73.26983281156332,325.82872621505805,198.71666777681565,399.09855902662133
1999,Queens,NY,2208975,16638,13610,1147,8709,3754,9856,753.2000135809595,616.1228624135628,51.92453513507396,394.25525413370457,169.94307314478436,446.1797892687785
1999,Richland,SC,318034,2399,1659,230,886,543,1116,754.3218649578347,521.6423401271562,72.31931177169737,278.5865662161907,170.73646213926813,350.90587798788806
1999,Riverside,CA,1507912,12029,9282,1146,5356,2780,6502,797.725596719172,615.5531622535002,75.99912992270106,355.1931412443166,184.3608910864825,431.1922711670177
1999,Roanoke,VA,85240,659,495,75,282,138,357,773.1112153918349,580.7132801501642,87.98686062881276,330.830595964336,161.8958235570155,418.8174565931488
1999,Rockingham,NH,273853,1687,1261,171,646,444,817,616.0239252445655,460.4660164394767,62.44225916823989,235.89297908001737,162.13077819121938,298.33523824825727
1999,Sacramento,CA,1206659,8924,6621,864,3628,2129,4492,739.56270992882,548.7051437067141,71.60266487881,300.6648937272254,176.4375851006788,372.2675586060353
1999,Saint Clair,IL,256201,2467,1822,265,1002,555,1267,962.9158356134442,711.1603779844731,103.43441282430591,391.09917603756423,216.62678912260296,494.53358886187016
1999,Saint Louis,MO,1016040,9715,7412,970,4202,2240,5172,956.1631431833393,729.4988386284004,95.46868233534113,413.5663950238179,220.46376126924136,509.03507735915906
1999,Salt Lake,UT,891116,4893,2994,501,1497,996,1998,549.0867631150153,335.9831941071645,56.221636689275016,167.99159705358224,111.76996036430724,224.21323374285728
1999,San Bernardino,CA,1681601,10912,7942,1022,4530,2390,5552,648.9054181104793,472.2880160037963,60.77541580910098,269.3861385667587,142.12646162793672,330.1615543758597
1999,San Diego,CA,2789593,19235,14297,1758,7835,4704,9593,689.5271102271909,512.5120402868805,63.01994592042638,280.8653448728901,168.62674949356412,343.88529079331647
1999,San Francisco,CA,774716,6567,4825,570,2702,1553,3272,847.6654670872939,622.8088744778731,73.57534890204926,348.772969707609,200.46055586821493,422.3483186096583
1999,Santa Barbara,CA,396906,2850,2120,259,1212,649,1471,718.0541488412874,534.1315072082559,65.25474545610297,305.3619748756633,163.51478687648964,370.6167203317662
1999,Santa Clara,CA,1671498,8966,6743,778,3692,2273,4470,536.4050689860234,403.41059337193343,46.5450751361952,220.87971388538904,135.9858043503492,267.4247890215842
1999,Santa Cruz,CA,253667,1449,1072,139,655,278,794,571.2213255961556,422.60128436099296,54.79624862516606,258.21253848549475,109.59249725033212,313.0087871106608
1999,Scott,IA,158765,1141,918,134,530,254,664,718.6722514408087,578.2130822284508,84.4014738764841,333.8267250338551,159.98488331811168,418.22819891033913
1999,Solano,CA,387657,2245,1666,200,890,576,1090,579.1202016215366,429.7613612033318,51.5920001444576,229.5844006428363,148.5849604160379,281.1764007872939
1999,St. Louis City,MO,350156,4418,3125,386,1879,860,2265,1261.723346165709,892.4593609705388,110.23658026708095,536.6179645643656,245.6048161390923,646.8545448314466
1999,Steuben,NY,98458,841,657,126,362,169,488,854.1713217818766,667.2896057202056,127.9733490422312,367.6694631213309,171.64679355664344,495.64281216356216
1999,Suffolk,MA,689109,5452,3835,581,1883,1371,2464,791.1665643606455,556.5157326344598,84.31177070681126,273.2514014473763,198.95256048027233,357.5631721541875
1999,Suffolk,NY,1406161,10846,8465,878,4738,2849,5616,771.3199270922746,601.9936550651029,62.439507282594235,336.9457693678035,202.608378414705,399.38527665039777
1999,Sumner,KS,25974,164,129,15,88,26,103,631.4006314006314,496.6504966504966,57.75005775005775,338.8003388003388,100.1001001001001,396.55039655039656
1999,Sweetwater,WY,38142,148,104,25,66,13,91,388.0237009071365,272.66530334015,65.54454407215144,173.0375963504798,34.08316291751875,238.58214042263123
1999,Travis,TX,788500,3764,2524,355,1317,852,1672,477.36207989854154,320.1014584654407,45.02219403931515,167.0259987317692,108.05326569435637,212.04819277108436
1999,Tulsa,OK,561682,4907,3621,429,2060,1132,2489,873.6260019014317,644.6708279773965,76.37773686890446,366.7555663168839,201.53752479160806,443.13330318578846
1999,Uinta,WY,19901,45,32,10,22,0,32,226.11929048791515,160.79593990251746,50.2487312195367,110.54720868298075,0.0,160.79593990251746
1999,Uintah,UT,25203,64,50,0,39,11,39,253.93802325120026,198.3890806650002,0.0,154.74348291870015,43.64559774630004,154.74348291870015
1999,Union,SD,12586,41,41,0,41,0,41,325.75877959637694,325.75877959637694,0.0,325.75877959637694,0.0,325.75877959637694
1999,Ventura,CA,743357,4487,3337,371,1844,1122,2215,603.6130688215757,448.9094741826605,49.90872487916304,248.06385088187773,150.93689842161976,297.9725757610408
1999,Wake,NC,612728,3048,2129,242,1185,702,1427,497.44748077450356,347.46249559347706,39.49550208249011,193.39739656095364,114.56959695003329,232.89289864344377
1999,Washington,PA,203078,2345,1757,196,995,566,1191,1154.7287249234284,865.1848058381509,96.51463969509253,489.95952294192375,278.71064320113453,586.4741626370163
1999,Washoe,NV,332833,2377,1783,269,945,569,1214,714.1719721301674,535.7040918418546,80.82131279049854,283.9261731859521,170.956605865404,364.74748597645066
1999,Wayne,MI,2072114,20528,14682,1646,8556,4480,10202,990.6790842588777,708.5517495659022,79.43578393852847,412.9116448226305,216.20432080474336,492.3474287611589
1999,Westmoreland,PA,371248,4280,3293,410,1887,996,2297,1152.8681635995345,887.0081454984269,110.4383053915442,508.2855665215705,268.28427358531223,618.7238719131146
1999,Wyandotte,KS,157980,1462,953,135,515,303,650,925.4335991897709,603.2409165717179,85.45385491834409,325.99063172553485,191.79642992783897,411.444486643879
1999,York,PA,378905,3167,2388,279,1313,796,1592,835.8295614995844,630.237130679194,73.6332326044787,346.52485451498393,210.07904355973133,420.15808711946266
2000,Ada,ID,300904,1667,1237,190,649,398,839,553.9972881716428,411.0945683673198,63.14306223911946,215.68340733257116,132.2680987956292,278.8264695716906
2000,Adair,OK,21038,133,109,11,84,14,95,632.1893716132712,518.1100865101245,52.2863390056089,399.2774978610134,66.54624964350224,451.5638368666223
2000,Adams,CO,363857,1912,1250,228,599,423,827,525.4811643035588,343.5415561607994,62.66197984372982,164.6251137122551,116.25446260481453,227.2870935559849
2000,Adams,PA,91292,679,517,47,328,142,375,743.7672523331727,566.3146825570695,51.4831529597336,359.2866844849494,155.5448451123866,410.76983744468305
2000,Alameda,CA,1443741,9774,7368,895,4028,2445,4923,676.991233192103,510.3408436831814,61.991728433285466,278.99741020030604,169.35170504958992,340.98913863359144
2000,Alexandria City,VA,128283,661,468,71,253,144,324,515.2670268079169,364.81840929819225,55.34638260720438,197.22020844539028,112.25181824559762,252.56659105259465
2000,Allegheny,PA,1281666,15043,11154,1378,6059,3717,7437,1173.7067223441989,870.2735346026188,107.51631080172213,472.7440690476302,290.01315475326646,580.2603798493523
2000,Anoka,MN,298084,1232,870,104,394,372,498,413.3063163403604,291.8640383247675,34.88949423652393,132.17750701144644,124.79703707679714,167.06700124797035
2000,Aroostook,ME,73938,630,481,67,311,103,378,852.0652438529579,650.5450512591631,90.61646244150505,420.6226838702697,139.30590494738834,511.23914631177473
2000,Athens,OH,62223,323,266,40,180,46,220,519.1006540989666,427.494656316796,64.28491072433023,289.282098259486,73.92764733297976,353.56700898381627
2000,Baltimore,MD,754292,7569,5529,757,2889,1883,3646,1003.4575469446845,733.0052552592365,100.35901215974717,383.0081719015978,249.63807119789155,483.367184061345
2000,Beaver,PA,181412,1910,1471,180,854,437,1034,1052.852071527793,810.8614645117192,99.22166119110092,470.7516592066677,240.88814411395057,569.9733203977687
2000,Berks,PA,373638,3504,2663,366,1505,792,1871,937.8061117980506,712.7219394172969,97.95577537616623,402.7962894566399,211.96987458449087,500.7520648328061
2000,Bernalillo,NM,556678,3926,2482,378,1207,897,1585,705.2551025907258,445.8591861004027,67.90280916436433,216.82193296663422,161.13444396940423,284.72474213099855
2000,Bexar,TX,1392931,10098,6940,868,3803,2269,4671,724.9461746489956,498.2299912917438,62.31464444398179,273.0214203000723,162.89392654768972,335.3360647440541
2000,Blair,PA,129144,1402,1105,157,651,297,808,1085.6098618596295,855.6340209378678,121.56972062194139,504.08845939416466,229.97584092176174,625.658180016106
2000,Blount,TN,105823,827,630,82,379,169,461,781.4936261493249,595.3337176228231,77.48788070646269,358.1452047286507,159.70063218770966,435.63308543511334
2000,Boyd,KY,49752,465,333,43,195,95,238,934.6357935359383,669.3198263386397,86.42868628396849,391.9440424505548,190.94709760411644,478.37272873452326
2000,Bronx,NY,1332650,10150,7242,827,4344,2071,5171,761.6403406745957,543.4285071098938,62.05680411210746,325.96705811728515,155.40464488050125,388.02386222939253
2000,Bucks,PA,597635,4907,3620,489,1816,1315,2305,821.0697164657358,605.7208831477407,81.82251708818929,303.8643988387561,220.0339672207953,385.68691592694535
2000,Cambria,PA,152598,1824,1343,168,796,379,964,1195.2974481972242,880.0901715618816,110.09318601816538,521.6320004194026,248.36498512431356,631.725186437568
2000,Camden,NJ,508932,4700,3342,404,1790,1148,2194,923.5025504389585,656.669260333404,79.38192135688068,351.71692878419907,225.57041019232432,431.09885014107977
2000,Cass,ND,123138,587,445,71,254,120,325,476.7009371599344,361.383163605061,57.6588867774367,206.2726372037876,97.45163962383667,263.9315239812243
2000,Charleston,SC,309969,2791,1885,242,966,677,1208,900.4126219073521,608.1253286618985,78.07232336136839,311.6440676325697,218.40893766796034,389.7163909939381
2000,Cherokee,OK,42521,228,167,15,115,37,130,536.2056395663319,392.7471131911291,35.276686813574464,270.4545989040709,87.01582747348368,305.7312857176454
2000,Clark,NV,1375765,10249,7154,1034,3550,2570,4584,744.9673454405367,520.0015991103131,75.15818471904723,258.03825507990103,186.80515931136495,333.19643979894823
2000,Contra Costa,CA,948816,6606,5004,699,2657,1648,3356,696.236151161026,527.3941417514039,73.670764405322,280.03322035041566,173.69015699566617,353.7039847557377
2000,Cook,IL,5376741,46125,32807,3750,17968,11089,21718,857.8616675045348,610.1651539473446,69.74485101662884,334.18012881780993,206.24017411290592,403.9249798344387
2000,Cumberland,ME,265612,2190,1602,254,764,584,1018,824.5109407707483,603.1354005090132,95.62820956884478,287.6376067346355,219.86958420553287,383.2658163034803
2000,Cuyahoga,OH,1393978,15224,11392,1173,6546,3673,7719,1092.1262745896995,817.2295402079517,84.14766947541497,469.5913421876099,263.4905285449268,553.7390116630248
2000,Dallas,TX,2218899,13897,9665,1191,5276,3198,6467,626.3016027318052,435.57638270151097,53.67526868054833,237.77558149334425,144.12553252761842,291.45085017389255
2000,Dauphin,PA,251798,2328,1709,213,963,533,1176,924.5506318556938,678.7186554301464,84.59161708988951,382.4494237444301,211.67761459582678,467.0410408343196
2000,Daviess,KY,91545,777,571,85,309,177,394,848.7629034900868,623.7369599650445,92.85051067780873,337.5389152875635,193.3475339996723,430.3894259653722
2000,DeKalb,GA,665865,3797,2448,325,1286,837,1611,570.2357084393984,367.6420896127593,48.80869245267434,193.13224152042832,125.70115563965668,241.94093397310266
2000,Denver,CO,554636,4447,2918,467,1498,953,1965,801.787118037776,526.1108186269914,84.19936679191397,270.0870480819853,171.82440375309213,354.2864148738993
2000,Duchesne,UT,14371,19,0,0,0,0,0,132.2107021084128,0.0,0.0,0.0,0.0,0.0
2000,East Baton Rouge,LA,412852,3078,2143,216,1226,701,1442,745.5456192533886,519.0722098960402,52.3189908247992,296.95871644075845,169.79450263048258,349.27770726555764
2000,El Paso,TX,679622,3846,2541,319,1338,884,1657,565.9028106800545,373.8843062761359,46.93785663206901,196.87414474516717,130.0723048988997,243.81200137723616
2000,Erie,PA,280843,2599,1969,234,1095,640,1329,925.428086154898,701.1034635009596,83.32057412860566,389.89755842232137,227.8853309500326,473.218132550927
2000,Essex,NJ,793633,7210,4825,511,2605,1709,3116,908.4803681298533,607.9636305445969,64.38744356648476,328.2373590815906,215.33882789652142,392.62480264807533
2000,Fairbanks North Star,AK,82840,173,107,0,90,17,90,208.83631096088845,129.16465475615644,0.0,108.64316755190728,20.521487204249155,108.64316755190728
