,State,County,year,avg(NO2 Mean),Population,Area,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate,population_density,NO2_fiveyears
10,Colorado,Denver,2006,29.107710525373065,556895,154.88,4079,2451,444,1126,881,1570,732.4540532775478,440.1188733962416,79.72777633126532,202.1925138491098,158.19858321586656,281.9202901803751,3595.654700413223,31.474571167138812
11,Louisiana,East Baton Rouge,2006,15.290715846153859,433474,470.59,3539,2213,272,1177,764,1449,816.4272828358795,510.5265829092403,62.74886152341317,271.52724269506365,176.25047869076346,334.2761042184768,921.128795767016,16.479295784776944
12,Louisiana,Jefferson,2006,10.961279444444441,426285,642.42,3761,2438,295,1268,875,1563,882.2735963029429,571.9178483878156,69.20252882461264,297.45358152409773,205.2617380391053,366.6561103487104,663.5612216307089,10.255218926605504
13,New York,Queens,2006,23.61166534763957,2173862,177.35,14718,11796,1129,7185,3482,8314,677.0438969907013,542.6287409228369,51.93521943895243,330.5177605570179,160.17576092686656,382.4529799959704,12257.468283056103,26.16522373662091
14,Pennsylvania,Berks,2006,17.14300612121212,401834,865.68,3380,2364,275,1268,821,1543,841.1433577049229,588.302632430307,68.43621993161355,315.5531886301308,204.31322386856263,383.9894085617444,464.183069956566,16.369481566777605
15,North Carolina,Mecklenburg,2006,12.285188430555568,831507,549.74,4708,2852,409,1338,1105,1747,566.2008858614539,342.9917006110592,49.18779998244151,160.91265617727814,132.89124445133956,210.10045615971964,1512.5459308036527,12.725210276804194
16,Pennsylvania,Lackawanna,2006,8.912998618004858,212595,464.57,2573,1871,231,1053,587,1284,1210.2824619581834,880.0771419835838,108.6573061454879,495.3079799618994,276.11185587619656,603.9652861073873,457.616720838625,11.66364188225684
17,Pennsylvania,Beaver,2006,13.047171234375035,173259,443.94,1968,1414,227,724,463,951,1135.87172960712,816.1192203579612,131.01772490895135,417.8715102822941,267.2299851667157,548.8892351912455,390.2757129341803,14.625375099159422
18,California,San Bernardino,2006,19.703715868131855,1974140,20106.39,12420,8473,1288,4488,2697,5776,629.1347118238828,429.19955018387753,65.24359974469897,227.33949973152863,136.6164507076499,292.58309947622763,98.18470645401786,21.130831523920996
19,California,Sacramento,2006,12.070299450084601,1369563,995.65,9901,6844,1102,3501,2241,4603,722.931329190406,499.721443993449,80.46362233792823,255.62898530407145,163.62883635144934,336.0926076419997,1375.546627831065,13.901133601305588
20,Pennsylvania,Allegheny,2006,15.909313497607691,1226025,744.73,14055,9602,1172,5048,3382,6220,1146.3877164005628,783.1814196284741,95.59348300401705,411.737117921739,275.85081870271813,507.330600925756,1646.267774898285,19.91111860281741
21,Oklahoma,Cherokee,2006,5.997048057591604,45517,776.45,310,212,23,150,39,173,681.0642177647911,465.760045697212,50.53057099545225,329.5472021442538,85.682272557506,380.0777731397061,58.62193315731856,6.729184398602909
22,Pennsylvania,York,2006,13.091791474178391,418043,910.34,3249,2194,249,1098,847,1347,777.1927768196095,524.8263934571324,59.56325067038559,262.65240657061594,202.61073621613087,322.2156572410015,459.21633675330094,14.781030837199705
23,California,Solano,2006,11.560104824657552,408402,906.85,2640,1809,275,845,689,1120,646.4219078261125,442.94592093084754,67.33561539855339,206.9039818610095,168.70632367128468,274.2395972595629,450.35231846501625,12.049202047346965
24,California,Riverside,2006,19.83620296438355,2012370,7303.81,13841,9748,1297,5295,3156,6592,687.7959818522438,484.4039614981341,64.45136828714402,263.12258680063803,156.83000641035198,327.57395508778205,275.5233227589436,21.520953371273002
25,California,San Francisco,2006,16.06613477260274,768650,231.89,5693,3982,534,2029,1419,2563,740.6491901385547,518.0511286020946,69.47245170103429,263.9692968190984,184.6093800819619,333.4417485201327,3314.718185346501,17.28026931326145
26,Pennsylvania,Philadelphia,2006,20.625750465373923,1488710,142.68,15349,9803,1198,4982,3623,6180,1031.026862182695,658.4895647909935,80.47235526059475,334.65214850440987,243.36506102598892,415.1245037650046,10433.90804597701,23.58829979862401
27,New Hampshire,Hillsborough,2006,7.333276811428557,398169,892.28,2846,1948,314,944,690,1258,714.7718682268082,489.2394937827907,78.86098616416648,237.0852577674304,173.29324985119385,315.9462439315969,446.2377280674228,9.568167201701161
28,Pennsylvania,Northampton,2006,10.284892136792475,289628,377.41,2444,1686,206,842,638,1048,843.8410650903918,582.1260375378072,71.12571988896102,290.71774828400567,220.2825693648404,361.8434681729667,767.4094486102647,12.06057194767644
