,avg(NO2 Mean),avg(CO Mean),avg(O3 Mean),avg(SO2 Mean),population_density,num_factory,Autos,Trucks,Total Vehicles
0,3.527425414668551,0.354816452750352,0.020919368124118473,0.1979999689703809,32.73444671463682,282,76255,40559,146588
1,3.562149688705242,0.28616704545454436,0.027231071625344338,1.1429756652892586,422.1022839465544,678,161056,51300,241929
2,22.599809342253444,0.45927220528168533,0.023108242957746522,1.2567036746478912,2048.504099050569,29494,5859407,1152856,7498722
3,9.798403982093724,0.2854875261708004,0.025043220385674855,1.162261204545459,1275.7037073973422,1194,670519,150252,916066
4,8.839806648834028,0.34459058436213974,0.026229956104252213,1.083183456790124,450.98086783922366,582,249490,73602,371377
5,14.28586698895028,0.27027335497237465,0.0181268011049724,0.8784872044198871,1798.709300343375,4060,932092,194392,1229130
6,15.269006729658788,0.35969083989501316,0.03294147506561668,1.0686718674540687,151.15430823760488,1294,431144,171716,713001
7,15.69076091232879,0.42761325342465667,0.021041309589041057,0.9612938698630124,3411.7555737634225,1544,379898,61755,470333
8,18.278570263598375,0.32988056973500623,0.030769444909344357,1.0728293486750382,99.65662657493463,3968,1058040,360894,1640794
9,3.6608850221146785,0.22210856150656494,0.03345055701451279,0.5980176703524557,109.73806985507552,958,246436,78906,369403
10,13.175136673972599,0.34769932602739845,0.02995092328767126,1.148973410958903,3120.120053591586,10410,1932075,413250,2526427
11,10.788875323104719,0.4028477436823108,0.024629572202166095,0.49450890794223973,1400.5303068347312,1778,795270,216226,1157002
12,14.148143005571082,0.8102611504178278,0.02936038997214486,0.5556056532033455,37.46407917752472,116,88158,38116,147682
13,19.258673259562887,0.45763443715847063,0.029255887978142082,0.8684814699453559,288.85088741355537,3120,1103854,372871,1685246
14,19.312336536062336,0.6859679761208612,0.02739764327485383,2.504902357699796,667.7351787039983,6232,1899752,488794,2643283
15,13.017255157894699,0.2878423795013847,0.02880943767313016,1.1066702673130215,3151.32976759397,9908,1923926,403502,2509262
16,2.887125980590718,0.1466942016877654,0.03256464303797456,0.6487865649789053,110.92475115844584,894,245447,77844,367898
17,9.6941072679558,0.35810813950276255,0.022008019337016602,0.657002843922652,452.4342504273033,568,250142,72475,371534
18,17.29059325074191,0.39252494807121674,0.027864896142433277,1.5599454139465883,293.9185165002923,2894,1114406,366210,1689593
19,1.8464602197802213,0.3104676080586088,0.02688022344322342,1.2121014597069597,427.843414730468,636,161058,50972,241722
20,10.498705657876425,0.3867287862595426,0.025220648160999448,0.46291344517696276,1414.7551850549892,1660,800516,213257,1159910
21,13.408175269841278,0.35098984285714185,0.01825899365079363,0.3369833523809523,1353.082719446851,4774,1196538,204837,1507729
22,14.242095487671255,0.3412008301369863,0.030075221917808294,1.6483706356164356,153.12310460975525,1244,433851,171597,716536
23,19.46135621124821,0.3344363628257887,0.031138965706447176,0.7635211412894378,100.16517137089254,3744,1055162,355249,1632436
24,17.32447526703513,0.6096008070902381,0.027242408839779055,2.4684126137200804,676.3714338742178,5846,1911703,483895,2653730
25,22.70094853757233,0.51279014585742,0.02265003044315991,0.9487262514450866,2059.499360312437,27312,5785091,1128495,7401550
26,12.862969158904134,0.33170631643835574,0.017597265753424633,0.9292672643835632,1824.6828044711783,3762,937076,188715,1229213
27,2.9076860415512433,0.309983062326869,0.020761623268698057,0.20056118836565096,33.00267487884082,280,76243,40143,147062
28,8.333274496287125,0.27907339418316934,0.024188313118811748,0.7888684696782202,1293.836794734349,1142,673918,147637,917194
29,13.922319947222121,0.9688444236111096,0.02701966388888889,0.46015639999999985,38.376825045514586,114,90287,38650,151469
30,2.6348533177441573,0.24038764099037077,0.022844086657496536,1.2851611980742803,33.21957695458628,270,76305,40354,148697
31,20.44729551851863,0.41964139271017026,0.022612035861258074,0.7809418915343903,2066.065626893812,25820,5810035,1110636,7410625
32,2.12437892102844,0.11146692699724624,0.034079227731864246,0.6643941418732776,111.8586326644782,906,245444,77210,368136
33,7.608833458112407,0.3133413690349926,0.02393280063626737,0.9850142958642647,1307.717719215139,1116,680242,144276,921015
34,12.916266709677414,0.27705670430107476,0.02894710752688172,0.7467599233870963,154.61399261202843,1196,436656,170678,720528
35,9.26397542797206,0.3520028881118871,0.02309811888111883,0.5491519055944061,455.8019518112146,540,250033,70999,370626
36,16.920116675090206,0.46761635198555934,0.031032238267148012,1.2604395794223833,299.79435390570126,2774,1134869,362726,1707950
37,13.87090537536654,0.8763400571847487,0.027310099706744802,0.49045319648093977,38.93906400599722,110,92862,39382,155782
38,13.107570373368187,0.3139703812010454,0.018581099216710133,0.808043203655351,1838.9681708594112,3662,952005,184257,1238111
39,18.927191771165187,0.33086148449287534,0.028798264040234854,0.8020965461022649,101.22204930870237,3610,1066756,350598,1639608
40,11.172932052197831,0.24246152335164772,0.02697010439560441,0.5648764587912081,3175.651696891055,9520,1939359,398478,2520474
41,8.378692592705146,0.29157179331307037,0.025145737082066816,0.23526196580547232,1424.9866921106816,1564,801270,208950,1157341
42,17.280307051519124,0.5775473408190208,0.025284785997358034,0.5650787060766189,683.9080231201611,5694,1931471,475678,2669579
43,13.54535503086417,0.35637274897119336,0.019951016460905337,0.3903861862139927,1365.7347857082627,4676,1208901,201244,1517995
44,12.036352558823568,0.369472698179271,0.020922179271708637,0.6110543949579821,1389.671375897833,4692,1215418,194685,1517190
45,10.211051473972608,0.4131898931506848,0.022290665753424678,0.8463638068493154,459.266692396758,512,249543,68605,365427
46,2.3397625274929816,0.18288571062442127,0.03336662674743708,0.696728887465052,112.41357835738188,886,244837,75671,366061
