State,County,year,Factors,value
California,San Diego,2011,population_density,693.9344928765864
California,Santa Clara,2011,population_density,1389.671375897833
California,Alameda,2011,population_density,1865.4494313615664
California,San Bernardino,2011,population_density,102.60146152541556
California,Riverside,2011,population_density,306.16157868290657
California,Sacramento,2011,population_density,1441.2715311605484
California,Fresno,2011,population_density,156.2833484826077
California,Contra Costa,2011,population_density,1329.035877234536
California,Santa Barbara,2011,population_density,112.41357835738188
California,Solano,2011,population_density,459.266692396758
California,Humboldt,2011,population_density,33.37256817979924
California,Imperial,2011,population_density,39.318129082925786
California,Los Angeles,2012,population_density,2094.4622836846006
California,Orange,2012,population_density,3254.4598115854883
California,San Diego,2012,population_density,702.9538745713578
California,Santa Clara,2012,population_density,1409.693912750186
California,Alameda,2012,population_density,1894.092004967976
California,San Bernardino,2012,population_density,103.31277767913583
California,Riverside,2012,population_density,310.10102946270507
California,Sacramento,2012,population_density,1453.5589815698288
California,Fresno,2012,population_density,157.33820325728786
California,Contra Costa,2012,population_density,1344.139719265003
California,Santa Barbara,2012,population_density,113.63799491233812
California,Solano,2012,population_density,463.0104206869934
California,Humboldt,2012,population_density,33.22944735621292
California,Imperial,2012,population_density,39.55462642344626
California,Los Angeles,2013,population_density,2107.483502794425
California,Orange,2013,population_density,3283.6197529301307
California,San Diego,2013,population_density,711.1082387669247
California,Santa Clara,2013,population_density,1431.136884548458
California,Alameda,2013,population_density,1925.365901176241
California,San Bernardino,2013,population_density,103.8448473346036
California,Riverside,2013,population_density,313.7337909940154
California,Sacramento,2013,population_density,1466.4018480389695
California,Fresno,2013,population_density,158.48777561570583
California,Contra Costa,2013,population_density,1363.8210875364632
California,Santa Barbara,2013,population_density,115.00015832972691
California,Solano,2013,population_density,467.5216408446821
California,Humboldt,2013,population_density,33.20279727182099
California,Imperial,2013,population_density,39.533877128476064
California,Los Angeles,2014,population_density,2118.252769173793
California,Orange,2014,population_density,3306.6831239252674
California,San Diego,2014,population_density,720.0427758334217
California,Santa Clara,2014,population_density,1448.6627367710976
California,Alameda,2014,population_density,1959.0239388257069
California,San Bernardino,2014,population_density,104.73958776289528
California,Riverside,2014,population_density,317.9785618738713
California,Sacramento,2014,population_density,1484.5949881986642
California,Fresno,2014,population_density,160.04795700818724
California,Contra Costa,2014,population_density,1382.4777481363285
California,Santa Barbara,2014,population_density,116.25439364992242
California,Solano,2014,population_density,473.7288415945305
California,Humboldt,2014,population_density,33.22994087629426
California,Imperial,2014,population_density,39.90691821654232
California,Los Angeles,2015,population_density,2127.856499562319
California,Orange,2015,population_density,3330.034496945913
California,San Diego,2015,population_density,726.9781613462014
California,Santa Clara,2015,population_density,1464.2093320966171
California,Alameda,2015,population_density,1988.099992694153
